spotify_id,name,followers,popularity,degree,degree_centrality,clustering,pagerank,community,has_chart_hits
48WvrUGoijadXXCsGocwM4,Byklubben,1738.0,24,2,1.2794350015033362e-05,0.0,5.349145964236155e-06,0,1
4lDiJcOJ2GLCK6p9q5BgfK,Kontra K,1999676.0,72,64,0.00040941920048106757,0.0679563492063492,7.256412588759835e-05,0,1
652XIvIBNGg3C0KIGEJWit,Maxim,34596.0,36,8,5.1177400060133446e-05,0.10714285714285714,1.270890387274487e-05,0,1
3dXC1YPbnQPsfHPVkm1ipj,Christopher Martin,249233.0,52,39,0.00024948982529315053,0.037786774628879895,4.9438106134992074e-05,0,1
74terC9ol9zMo8rfzhSOiG,Jakob Hellman,21193.0,39,2,1.2794350015033362e-05,0.0,7.003192057143352e-06,0,1
0FQMb3mVrAKlyU4H5mQOJh,Madh,26677.0,19,8,5.1177400060133446e-05,0.03571428571428571,1.4030973829615647e-05,0,1
71BhXa24Zf5zcikUb00l2N,Juice,11312.0,37,4,2.5588700030066723e-05,0.8333333333333334,4.6573183437160635e-06,0,1
3TG1RXLaEhHz5SIPMWahit,Nehuda,36252.0,31,4,2.5588700030066723e-05,0.0,7.166193252871788e-06,0,1
7MFvm8pwjLdmVBZddGNiQH,VovaZiLvova,14619.0,43,14,8.956045010523352e-05,0.0,2.995471364342594e-05,0,1
5I82NM6jN4Y267iHwVeNR9,Nata Record,188.0,12,14,8.956045010523352e-05,0.04395604395604396,2.0630479758451957e-05,0,1
5OkJ74jazRprW3kCTjfgOL,Yomi,7246.0,30,7,4.478022505261676e-05,0.0,1.3485678502918086e-05,0,1
6swIRY9NcGlW0PwO5KlqKV,Kauniit & Uhkarohkeat,798.0,9,0,0.0,0.0,9.754774718355528e-07,1,1
5qBZETtyzfYnXOobDXbmcD,Danny Elfman,327256.0,63,54,0.00034544745040590076,0.0034940600978336828,9.902953818169726e-05,0,1
0AjnB78SikKKhqYoqFIOXn,Attractions,11174.0,21,0,0.0,0.0,9.754774718355528e-07,2,1
5RYLofQHxZcrEl9Bl23MCS,MaRina,6408.0,29,8,5.1177400060133446e-05,0.17857142857142858,9.618279284127212e-06,0,1
3xs0LEzcPXtgNfMNcHzLIP,Rockwell,40344.0,58,4,2.5588700030066723e-05,0.0,5.913017773897636e-06,0,1
4kYtSSCtizbVfZkgAj4Xbe,Cosmos Insania,17.0,0,0,0.0,0.0,9.754774718355528e-07,3,1
2tGETO39QXKpmeQMSzr5I6,Pálmi Gunnarsson,3207.0,27,6,3.8383050045100085e-05,0.0,1.26436703875849e-05,0,1
5mjhFqCEMhIwO4ZOYlycHH,GeeSixFive,517.0,0,0,0.0,0.0,9.754774718355528e-07,4,1
6cd9X2t4HN8zjoxOblaDTz,Suur Papa,6752.0,29,8,5.1177400060133446e-05,0.10714285714285714,1.7469301781585803e-05,0,1
2NUz5P42WqkxilbI8ocN76,Vybz Kartel,1026598.0,63,180,0.0011514915013530024,0.009248913718187462,0.0002539364701751849,0,1
3PGwQavDRylE3cEDRRISYV,CAMO,394.0,10,3,1.9191525022550042e-05,0.6666666666666666,4.925675336517588e-06,0,1
4Lm0pUvmisUHMdoky5ch2I,Apocalyptica,864846.0,60,42,0.0002686813503157006,0.0023228803716608595,7.504832271220047e-05,0,1
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,36163788.0,88,136,0.0008700158010222686,0.023202614379084968,0.0001343683348944838,0,1
3W78vKR2pmGmYbtNDnN9kl,Akky,35.0,1,0,0.0,0.0,9.754774718355528e-07,5,1
0SIXZXJCAhNU8sxK0qm7hn,Stefanie Sun,561300.0,57,18,0.00011514915013530026,0.006535947712418301,3.9123876515422084e-05,0,1
7jXoGtR69J2iYCefc58MZX,Twins,92440.0,45,3,1.9191525022550042e-05,0.0,5.788977053878275e-06,0,1
2sjnyyL9NXijL3Fr2eLikf,Aspova,339292.0,57,31,0.00019831242523301711,0.12043010752688173,4.357673752869789e-05,0,1
2bPh6UXbS7wZ7tyN35kFEG,Artistic Raw,7088.0,40,53,0.0003390502753983841,0.03265602322206096,6.0530079336578693e-05,0,1
7yaaxrkMOWJZXpIYHkppDH,Angela Ken,30050.0,45,22,0.00014073785016536697,0.08658008658008658,3.3471110695556215e-05,0,1
63vwPO1QheUOil1fkQsv0u,Labanoon,498739.0,44,3,1.9191525022550042e-05,0.0,6.664476758998106e-06,0,1
